item_id,task_type,perturbation_type,n_original_outputs,n_perturbed_outputs,baseline_similarity,perturbation_similarity,noise_corrected_drift,similarity_metric
code_generation_107,code_generation,surface_noise_high,3,3,0.921048,0.923424,-0.002376,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,surface_noise_low,3,3,0.921048,0.922255,-0.001207,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,surface_noise_medium,3,3,0.921048,0.921427,-0.000379,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,surface_noise_high,3,3,0.894483,0.871052,0.023431,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,surface_noise_low,3,3,0.894483,0.876123,0.01836,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,surface_noise_medium,3,3,0.894483,0.841931,0.052552,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,surface_noise_high,3,3,0.965166,0.964721,0.000444,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,surface_noise_low,3,3,0.965166,0.955842,0.009324,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,surface_noise_medium,3,3,0.965166,0.939904,0.025262,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,surface_noise_high,3,3,0.93597,0.93052,0.005449,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,surface_noise_low,3,3,0.93597,0.941545,-0.005575,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,surface_noise_medium,3,3,0.93597,0.926901,0.009069,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,surface_noise_high,3,3,0.943335,0.956015,-0.012681,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,surface_noise_low,3,3,0.943335,0.933911,0.009424,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,surface_noise_medium,3,3,0.943335,0.948042,-0.004707,sentence-transformers/all-MiniLM-L6-v2
code_generation_143,code_generation,surface_noise_high,3,3,0.925572,0.929925,-0.004353,sentence-transformers/all-MiniLM-L6-v2
code_generation_143,code_generation,surface_noise_low,3,3,0.925572,0.931577,-0.006005,sentence-transformers/all-MiniLM-L6-v2
code_generation_143,code_generation,surface_noise_medium,3,3,0.925572,0.938933,-0.013361,sentence-transformers/all-MiniLM-L6-v2
code_generation_18,code_generation,surface_noise_high,3,3,0.943251,0.931498,0.011753,sentence-transformers/all-MiniLM-L6-v2
code_generation_18,code_generation,surface_noise_low,3,3,0.943251,0.953914,-0.010663,sentence-transformers/all-MiniLM-L6-v2
code_generation_18,code_generation,surface_noise_medium,3,3,0.943251,0.943468,-0.000218,sentence-transformers/all-MiniLM-L6-v2
code_generation_25,code_generation,surface_noise_high,3,3,0.923312,0.910246,0.013066,sentence-transformers/all-MiniLM-L6-v2
code_generation_25,code_generation,surface_noise_low,3,3,0.923312,0.937383,-0.014071,sentence-transformers/all-MiniLM-L6-v2
code_generation_25,code_generation,surface_noise_medium,3,3,0.923312,0.899628,0.023684,sentence-transformers/all-MiniLM-L6-v2
code_generation_49,code_generation,surface_noise_high,3,3,0.954021,0.952509,0.001513,sentence-transformers/all-MiniLM-L6-v2
code_generation_49,code_generation,surface_noise_low,3,3,0.954021,0.964095,-0.010074,sentence-transformers/all-MiniLM-L6-v2
code_generation_49,code_generation,surface_noise_medium,3,3,0.954021,0.946384,0.007638,sentence-transformers/all-MiniLM-L6-v2
code_generation_75,code_generation,surface_noise_high,3,3,0.859747,0.893111,-0.033363,sentence-transformers/all-MiniLM-L6-v2
code_generation_75,code_generation,surface_noise_low,3,3,0.859747,0.901424,-0.041677,sentence-transformers/all-MiniLM-L6-v2
code_generation_75,code_generation,surface_noise_medium,3,3,0.859747,0.869907,-0.01016,sentence-transformers/all-MiniLM-L6-v2
factual_qa_10908,factual_qa,surface_noise_high,3,3,1.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_10908,factual_qa,surface_noise_low,3,3,1.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_10908,factual_qa,surface_noise_medium,3,3,1.0,1.0,0.0,sentence-transformers/all-MiniLM-L6-v2
factual_qa_2289,factual_qa,surface_noise_high,3,3,0.97514,0.967762,0.007378,sentence-transformers/all-MiniLM-L6-v2
