item_id,task_type,perturbation_type,n_original_outputs,n_perturbed_outputs,baseline_similarity,perturbation_similarity,uncorrected_drift,noise_corrected_drift,similarity_metric,problem_content_recall,problem_content_jaccard,prompt_content_recall,math_token_recall,number_recall,problem_length_delta_tokens,original_mean_output_length_tokens,original_answer_token_f1,original_answer_containment,paraphrase_mean_output_length_tokens,paraphrase_answer_token_f1,paraphrase_answer_containment,output_length_delta_tokens,answer_token_f1_delta,answer_containment_delta
math_reasoning_10051,math_reasoning,paraphrasing,5,5,0.948186,0.946882,0.053118,0.001304,sentence-transformers/all-MiniLM-L6-v2,0.8928571428571429,0.8064516129032258,0.9117647058823529,1.0,1.0,-4,216.8,0.009305536756584234,1.0,248.2,0.008131758252130585,1.0,31.399999999999977,-0.0011737785044536493,0.0
math_reasoning_10521,math_reasoning,paraphrasing,5,5,0.936895,0.948661,0.051339,-0.011766,sentence-transformers/all-MiniLM-L6-v2,0.6923076923076923,0.45,0.7894736842105263,1.0,1.0,15,155.6,0.010576686221409557,0.8,152.8,0.013161230737020546,1.0,-2.799999999999983,0.002584544515610989,0.19999999999999996
math_reasoning_10586,math_reasoning,paraphrasing,5,5,0.867792,0.875991,0.124009,-0.008199,sentence-transformers/all-MiniLM-L6-v2,0.7,0.5384615384615384,0.7391304347826086,1.0,1.0,-2,212.2,0.009737735921473317,1.0,177.2,0.011279087487804106,1.0,-35.0,0.0015413515663307894,0.0
math_reasoning_10682,math_reasoning,paraphrasing,5,5,0.918255,0.905321,0.094679,0.012934,sentence-transformers/all-MiniLM-L6-v2,0.8846153846153846,0.6571428571428571,0.9333333333333333,0.9166666666666666,1.0,12,231.4,0.017156092257263982,1.0,227.0,0.0175341493706255,1.0,-4.400000000000006,0.0003780571133615192,0.0
math_reasoning_10926,math_reasoning,paraphrasing,5,5,0.962337,0.947929,0.052071,0.014408,sentence-transformers/all-MiniLM-L6-v2,0.46153846153846156,0.2857142857142857,0.631578947368421,1.0,1.0,10,126.8,0.015713557499527436,1.0,119.8,0.016692847084011038,1.0,-7.0,0.0009792895844836016,0.0
math_reasoning_11055,math_reasoning,paraphrasing,5,5,0.920379,0.929193,0.070807,-0.008814,sentence-transformers/all-MiniLM-L6-v2,0.8333333333333334,0.625,0.8888888888888888,1.0,1.0,7,196.4,0.0,0.0,185.0,0.0037383177570093455,0.2,-11.400000000000006,0.0037383177570093455,0.2
math_reasoning_1121,math_reasoning,paraphrasing,5,5,0.860476,0.842648,0.157352,0.017827,sentence-transformers/all-MiniLM-L6-v2,0.5555555555555556,0.40540540540540543,0.6363636363636364,1.0,1.0,-5,437.6,0.015122501076793879,0.6,451.2,0.01441405307428012,0.4,13.599999999999966,-0.0007084480025137587,-0.19999999999999996
math_reasoning_11297,math_reasoning,paraphrasing,5,5,0.929902,0.888032,0.111968,0.04187,sentence-transformers/all-MiniLM-L6-v2,0.9523809523809523,0.8333333333333334,0.9565217391304348,1.0,1.0,5,108.2,0.014324499030381382,0.8,134.8,0.012377140499277905,0.8,26.60000000000001,-0.001947358531103477,0.0
math_reasoning_11759,math_reasoning,paraphrasing,5,5,0.913771,0.900781,0.099219,0.01299,sentence-transformers/all-MiniLM-L6-v2,0.8181818181818182,0.45,0.8823529411764706,1.0,1.0,11,395.2,0.023369967652587025,0.4,462.6,0.019759384619590013,0.4,67.40000000000003,-0.003610583032997012,0.0
math_reasoning_1600,math_reasoning,paraphrasing,5,5,0.940615,0.935987,0.064013,0.004627,sentence-transformers/all-MiniLM-L6-v2,0.9230769230769231,0.8372093023255814,0.9333333333333333,1.0,1.0,3,115.6,0.017571316887771672,1.0,118.2,0.016901396121472796,1.0,2.6000000000000085,-0.000669920766298876,0.0
math_reasoning_1650,math_reasoning,paraphrasing,5,5,0.923207,0.937598,0.062402,-0.014391,sentence-transformers/all-MiniLM-L6-v2,0.7692307692307693,0.5263157894736842,0.8421052631578947,1.0,1.0,6,219.2,0.009125921471339945,1.0,231.6,0.00863700435351122,1.0,12.400000000000006,-0.0004889171178287244,0.0
math_reasoning_190,math_reasoning,paraphrasing,5,5,0.774086,0.829018,0.170982,-0.054932,sentence-transformers/all-MiniLM-L6-v2,0.7692307692307693,0.45454545454545453,0.8421052631578947,1.0,1.0,13,309.4,0.011507426908877705,0.8,304.0,0.013144751398276972,1.0,-5.399999999999977,0.0016373244893992667,0.19999999999999996
math_reasoning_2166,math_reasoning,paraphrasing,5,5,0.72256,0.761978,0.238022,-0.039419,sentence-transformers/all-MiniLM-L6-v2,0.8095238095238095,0.4857142857142857,0.8518518518518519,1.0,1.0,12,417.2,0.0,0.0,413.2,0.0,0.0,-4.0,0.0,0.0
math_reasoning_2652,math_reasoning,paraphrasing,5,5,0.792774,0.818412,0.181588,-0.025638,sentence-transformers/all-MiniLM-L6-v2,0.8125,0.65,0.8636363636363636,1.0,1.0,2,275.6,0.00762834771490713,1.0,275.8,0.007499099174050408,1.0,0.19999999999998863,-0.0001292485408567216,0.0
math_reasoning_2817,math_reasoning,paraphrasing,5,5,0.870493,0.828226,0.171774,0.042266,sentence-transformers/all-MiniLM-L6-v2,0.7857142857142857,0.6470588235294118,0.8235294117647058,0.9090909090909091,1.0,2,430.4,0.008543806912384835,1.0,403.6,0.007094462053838737,1.0,-26.799999999999955,-0.0014493448585460988,0.0
math_reasoning_2832,math_reasoning,paraphrasing,5,5,0.950724,0.930435,0.069565,0.020289,sentence-transformers/all-MiniLM-L6-v2,0.6428571428571429,0.375,0.75,0.8,0.6666666666666666,12,341.4,0.01957726287433289,0.0,370.8,0.0184332375076394,0.0,29.400000000000034,-0.001144025366693488,0.0
math_reasoning_2873,math_reasoning,paraphrasing,5,5,0.912847,0.856585,0.143415,0.056262,sentence-transformers/all-MiniLM-L6-v2,0.5833333333333334,0.3684210526315789,0.7222222222222222,0.3,0.375,9,245.4,0.008197774839691727,1.0,212.2,0.009392905245420847,1.0,-33.20000000000002,0.0011951304057291195,0.0
math_reasoning_2891,math_reasoning,paraphrasing,5,5,0.834424,0.855075,0.144925,-0.02065,sentence-transformers/all-MiniLM-L6-v2,0.9444444444444444,0.8947368421052632,0.9523809523809523,1.0,1.0,-2,175.4,0.0,0.4,169.8,0.0,0.4,-5.599999999999994,0.0,0.0
math_reasoning_3251,math_reasoning,paraphrasing,5,5,0.955682,0.957029,0.042971,-0.001348,sentence-transformers/all-MiniLM-L6-v2,0.7,0.3888888888888889,0.8125,1.0,1.0,9,125.6,0.015805880385654524,1.0,129.2,0.015387222258458769,1.0,3.5999999999999943,-0.0004186581271957545,0.0
math_reasoning_3336,math_reasoning,paraphrasing,5,5,0.880782,0.862966,0.137034,0.017816,sentence-transformers/all-MiniLM-L6-v2,0.8888888888888888,0.8275862068965517,0.9,1.0,1.0,-4,212.8,0.009412865242865748,1.0,212.8,0.009395602669875871,1.0,0.0,-1.726257298987656e-05,0.0
math_reasoning_3374,math_reasoning,paraphrasing,5,5,0.814146,0.841241,0.158759,-0.027095,sentence-transformers/all-MiniLM-L6-v2,0.68,0.4473684210526316,0.7419354838709677,1.0,1.0,8,420.6,0.0,0.0,402.4,0.0,0.0,-18.200000000000045,0.0,0.0
math_reasoning_338,math_reasoning,paraphrasing,5,5,0.855134,0.869669,0.130331,-0.014535,sentence-transformers/all-MiniLM-L6-v2,0.8666666666666667,0.8,0.8787878787878788,1.0,1.0,-10,355.6,0.0,0.0,200.2,0.0,0.0,-155.40000000000003,0.0,0.0
math_reasoning_3402,math_reasoning,paraphrasing,5,5,0.960359,0.943856,0.056144,0.016503,sentence-transformers/all-MiniLM-L6-v2,0.75,0.5142857142857142,0.8,1.0,1.0,11,551.6,0.0042620011621678075,1.0,1129.2,0.002168455517813669,1.0,577.6,-0.0020935456443541387,0.0
math_reasoning_3715,math_reasoning,paraphrasing,5,5,0.959809,0.957788,0.042212,0.002021,sentence-transformers/all-MiniLM-L6-v2,0.6363636363636364,0.30434782608695654,0.7647058823529411,1.0,1.0,6,75.6,0.026324504260719712,1.0,88.4,0.02248710514632427,1.0,12.800000000000011,-0.003837399114395443,0.0
math_reasoning_3886,math_reasoning,paraphrasing,5,5,0.878489,0.880274,0.119726,-0.001785,sentence-transformers/all-MiniLM-L6-v2,0.6666666666666666,0.375,0.8,1.0,1.0,7,426.8,0.000954653937947494,0.4,390.2,0.0,0.2,-36.60000000000002,-0.000954653937947494,-0.2
math_reasoning_4506,math_reasoning,paraphrasing,5,5,0.838796,0.57188,0.42812,0.266917,sentence-transformers/all-MiniLM-L6-v2,0.5238095238095238,0.44,0.5833333333333334,0.4444444444444444,0.0,-35,550.4,0.0,0.0,357.6,0.0,0.0,-192.79999999999995,0.0,0.0
math_reasoning_4531,math_reasoning,paraphrasing,5,5,0.94218,0.887804,0.112196,0.054376,sentence-transformers/all-MiniLM-L6-v2,0.6,0.46875,0.7,1.0,1.0,-12,255.2,0.01574439001712824,1.0,235.6,0.01695013977699684,1.0,-19.599999999999994,0.001205749759868601,0.0
