task,perturbation,dataset,n,uncorrected_single_drift,noise_baseline,raw_perturbation_drift,noise_corrected_drift
factual_qa,paraphrase,SQuAD V2,2,0.12606038173043327,2.7755575615628914e-17,0.12606038173043327,0.12606038173043324
factual_qa,reordering,SQuAD V2,2,0.0,0.0,0.0,0.0
factual_qa,formatting,SQuAD V2,2,0.0,0.0,0.0,0.0
factual_qa,context_injection,SQuAD V2,2,0.0,0.0,0.0,0.0
factual_qa,surface_noise,SQuAD V2,2,1.8207848950790861e-07,0.0,1.8207848950790861e-07,1.8207848950790861e-07
math_reasoning,paraphrase,MATH,2,0.024021050676075684,0.027510404329199604,0.02702001047416236,0.0004902847778758355
math_reasoning,reordering,MATH,2,0.024846012828968755,0.02959666463010635,0.02696841294307127,0.0
math_reasoning,formatting,MATH,2,0.043830053538922165,0.037955335775892454,0.03351006950042035,0.0
math_reasoning,context_injection,MATH,2,0.044479535804332504,0.030046355711783268,0.03187667888604749,0.0030721344494911117
math_reasoning,surface_noise,MATH,2,0.019055771499708662,0.030565865717707103,0.028180588319229444,0.0
code_generation,paraphrase,HumanEval,2,0.056774366440825896,0.020777247124345012,0.032585338075752875,0.01180809095140786
code_generation,reordering,HumanEval,2,0.025266654736705585,0.03056230678271631,0.025296218337732837,0.0022101048340878084
code_generation,formatting,HumanEval,2,0.012865455313616658,0.006556027555979745,0.0068575048605155065,0.0003014773045357617
code_generation,context_injection,HumanEval,2,0.055043674006870436,0.05291986344946387,0.04993751966636552,0.0
code_generation,surface_noise,HumanEval,2,0.004369418528231583,0.0029861240656058885,0.0028996481849527154,0.0
open_ended_writing,paraphrase,Alpaca,2,0.027816878864821926,0.02597236042376914,0.03472235314332851,0.008749992719559372
open_ended_writing,reordering,Alpaca,2,0.04522864583459196,0.06135077928714146,0.05764763696652106,0.0
open_ended_writing,formatting,Alpaca,2,0.06208378638959938,0.019119144963292346,0.052669764339474484,0.03355061937618214
open_ended_writing,context_injection,Alpaca,2,0.05754897444212281,0.03029033401532673,0.0671389121016663,0.03684857808633957
open_ended_writing,surface_noise,Alpaca,2,0.040379213429534766,0.01399164477691984,0.030040759029733553,0.01604911425281371
