task_type,perturbation_type,n_items,mean_uncorrected_drift,std_uncorrected_drift,similarity_metric
code_generation,context_injection,50,0.114379,0.093504,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation,formatting_changes,50,0.081632,0.062509,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation,paraphrasing,50,0.154673,0.095872,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation,reordering,50,0.129034,0.099187,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation,surface_noise,50,0.091681,0.074564,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa,context_injection,50,0.101467,0.119439,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa,formatting_changes,50,0.075759,0.09165,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa,paraphrasing,50,0.493458,0.16336,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa,reordering,50,0.194802,0.180381,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa,surface_noise,50,0.058836,0.073548,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning,context_injection,50,0.102815,0.057595,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning,formatting_changes,50,0.090398,0.04453,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning,paraphrasing,50,0.176165,0.144425,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning,reordering,50,0.090455,0.043933,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning,surface_noise,50,0.093298,0.047818,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing,context_injection,50,0.180964,0.16065,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing,formatting_changes,50,0.169881,0.177335,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing,paraphrasing,50,0.373536,0.271589,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing,reordering,50,0.198761,0.152486,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing,surface_noise,50,0.168745,0.178306,"sklearn HashingVectorizer char_wb(3,5) cosine"
