item_id,had_template_artifact,fixed_has_template_artifact,had_asy_removed,fixed_has_asy_removed,asy_restored,original_prompt_length_chars,old_perturbed_prompt_length_chars,fixed_perturbed_prompt_length_chars
math_reasoning_8114,True,False,True,False,True,701,391,748
math_reasoning_6895,True,False,False,False,False,184,183,228
math_reasoning_4913,False,False,False,False,False,873,201,272
math_reasoning_9320,False,False,False,False,False,244,234,305
math_reasoning_10539,False,False,False,False,False,177,161,232
math_reasoning_3048,False,False,False,False,False,362,270,335
math_reasoning_5734,False,False,True,False,True,1081,371,1119
math_reasoning_11776,True,False,False,False,False,271,354,287
math_reasoning_1062,False,False,False,False,False,218,231,296
math_reasoning_11080,False,False,False,False,False,117,118,189
math_reasoning_7857,True,False,True,False,True,555,182,612
math_reasoning_2258,False,False,False,False,False,241,257,328
math_reasoning_8592,False,False,False,False,False,297,241,312
math_reasoning_6708,True,False,False,False,False,317,249,209
math_reasoning_1408,False,False,False,False,False,343,203,274
math_reasoning_4126,True,False,False,False,False,245,292,337
math_reasoning_11000,True,False,True,False,True,469,211,461
math_reasoning_10530,False,False,False,False,False,192,183,248
math_reasoning_10367,False,False,False,False,False,190,120,191
math_reasoning_8261,False,False,False,False,False,122,137,202
math_reasoning_9735,False,False,False,False,False,246,254,318
math_reasoning_6731,False,False,False,False,False,166,167,232
math_reasoning_3150,True,False,False,False,False,558,499,507
math_reasoning_7036,False,False,False,False,False,221,262,333
math_reasoning_3236,True,False,False,False,False,449,436,411
math_reasoning_6580,False,False,True,False,True,491,143,381
math_reasoning_6146,False,False,False,False,False,215,199,270
math_reasoning_9282,False,False,True,False,True,480,161,501
math_reasoning_6748,False,False,False,False,False,166,152,223
math_reasoning_5847,False,False,False,False,False,170,175,246
math_reasoning_6711,False,False,False,False,False,246,192,263
math_reasoning_6739,True,False,False,False,False,394,379,424
math_reasoning_4831,False,False,False,False,False,140,102,173
math_reasoning_9464,False,False,False,False,False,231,227,298
math_reasoning_4443,False,False,False,False,False,273,234,305
math_reasoning_2551,False,False,False,False,False,447,466,530
math_reasoning_1505,True,False,False,False,False,241,291,277
math_reasoning_5587,True,False,False,False,False,176,188,233
math_reasoning_8968,False,False,False,False,False,282,181,252
math_reasoning_9057,False,False,False,False,False,141,110,181
math_reasoning_11227,True,False,False,False,False,137,166,211
math_reasoning_5749,False,False,True,False,True,796,366,871
math_reasoning_3634,False,False,False,False,False,121,106,177
math_reasoning_971,False,False,False,False,False,159,141,212
math_reasoning_2490,True,False,False,False,False,348,392,444
math_reasoning_3822,True,False,False,False,False,199,206,251
math_reasoning_11625,True,False,True,False,True,621,361,598
math_reasoning_11237,False,False,False,False,False,362,167,238
math_reasoning_565,False,False,False,False,False,130,107,178
math_reasoning_8936,True,False,False,False,False,452,380,425
math_reasoning_11685,False,False,False,False,False,179,122,193
math_reasoning_4752,False,False,False,False,False,287,172,180
math_reasoning_7148,False,False,False,False,False,172,144,215
math_reasoning_933,False,False,False,False,False,128,121,192
math_reasoning_5616,True,False,True,False,True,493,225,518
math_reasoning_9716,False,False,False,False,False,292,190,261
math_reasoning_4614,False,False,False,False,False,143,188,241
math_reasoning_8216,True,False,False,False,False,194,163,208
math_reasoning_9026,False,False,False,False,False,244,236,307
math_reasoning_6288,False,False,False,False,False,261,372,443
math_reasoning_7480,True,False,True,False,True,627,257,664
math_reasoning_8764,True,False,False,False,False,255,357,402
math_reasoning_1431,False,False,False,False,False,163,178,243
math_reasoning_3152,True,False,False,False,False,246,243,288
math_reasoning_9770,False,False,False,False,False,231,226,291
math_reasoning_1864,False,False,False,False,False,145,187,251
math_reasoning_9808,True,False,False,False,False,327,357,378
math_reasoning_1309,False,False,False,False,False,140,150,215
math_reasoning_2888,False,False,False,False,False,211,208,279
math_reasoning_912,False,False,False,False,False,162,197,268
math_reasoning_10456,False,False,False,False,False,121,107,178
math_reasoning_946,False,False,False,False,False,341,308,372
math_reasoning_985,False,False,False,False,False,275,293,297
math_reasoning_1176,False,False,False,False,False,134,140,211
math_reasoning_3265,False,False,False,False,False,177,182,253
math_reasoning_7313,True,False,True,False,True,747,162,744
math_reasoning_11390,True,False,False,False,False,170,248,293
math_reasoning_1683,False,False,False,False,False,246,241,312
math_reasoning_4442,False,False,False,False,False,446,272,343
math_reasoning_6228,False,False,False,False,False,188,178,249
math_reasoning_3167,False,False,False,False,False,142,142,213
math_reasoning_476,False,False,False,False,False,545,568,563
math_reasoning_2325,True,False,False,False,False,239,296,341
math_reasoning_9293,False,False,False,False,False,177,138,209
math_reasoning_7018,False,False,False,False,False,236,187,258
math_reasoning_11086,False,False,False,False,False,229,250,321
math_reasoning_5690,True,False,False,False,False,119,165,210
math_reasoning_3012,False,False,False,False,False,171,149,220
math_reasoning_5767,True,False,False,False,False,337,401,293
math_reasoning_7143,False,False,False,False,False,121,138,209
math_reasoning_6733,False,False,False,False,False,159,166,237
math_reasoning_6766,False,False,False,False,False,233,177,248
math_reasoning_7393,True,False,False,False,False,203,239,284
math_reasoning_9089,False,False,True,False,True,660,193,700
math_reasoning_9486,True,False,False,False,False,264,280,325
math_reasoning_4227,False,False,False,False,False,182,180,251
math_reasoning_4387,True,False,False,False,False,303,331,376
math_reasoning_8247,False,False,False,False,False,146,132,135
math_reasoning_11854,True,False,False,False,False,321,348,322
math_reasoning_11319,False,False,False,False,False,181,158,229
