base_case_id,task,dataset,perturbation_family,strength_level,strength_edits,version,sample_idx,prompt,output,reference_answer,correct,performance_score
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,surface_noise,0,0,original,0,"Use only the VERIFIED RECORD and ignore the DECOY RECORD. Answer in exactly two complete sentences. Include the trigger event, date, named person or organizations, affected group or location, outcome, and later significance. Do not include any decoy details.

Passage: VERIFIED RECORD: Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route. Engineer Lena Ortiz led the project. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later helped create a night market near the depot. DECOY RECORD: Aster Bridge opened in 1908 after a factory fire. Engineer Marcus Vale led the project. It connected the courthouse to the harbor and later supported a shipyard expansion.

Question: Summarize the VERIFIED record about Aster Bridge.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, led by engineer Lena Ortiz. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later facilitated the establishment of a night market near the depot.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, and Lena Ortiz led the project. It connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later helped create a night market near the depot.",,1.0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,surface_noise,0,0,original,1,"Use only the VERIFIED RECORD and ignore the DECOY RECORD. Answer in exactly two complete sentences. Include the trigger event, date, named person or organizations, affected group or location, outcome, and later significance. Do not include any decoy details.

Passage: VERIFIED RECORD: Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route. Engineer Lena Ortiz led the project. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later helped create a night market near the depot. DECOY RECORD: Aster Bridge opened in 1908 after a factory fire. Engineer Marcus Vale led the project. It connected the courthouse to the harbor and later supported a shipyard expansion.

Question: Summarize the VERIFIED record about Aster Bridge.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, led by engineer Lena Ortiz. The bridge connected the mill district to the rail depot, reducing crossing time to twelve minutes and later facilitating the creation of a night market near the depot.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, and Lena Ortiz led the project. It connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later helped create a night market near the depot.",,1.0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,surface_noise,0,0,original,2,"Use only the VERIFIED RECORD and ignore the DECOY RECORD. Answer in exactly two complete sentences. Include the trigger event, date, named person or organizations, affected group or location, outcome, and later significance. Do not include any decoy details.

Passage: VERIFIED RECORD: Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route. Engineer Lena Ortiz led the project. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later helped create a night market near the depot. DECOY RECORD: Aster Bridge opened in 1908 after a factory fire. Engineer Marcus Vale led the project. It connected the courthouse to the harbor and later supported a shipyard expansion.

Question: Summarize the VERIFIED record about Aster Bridge.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, with engineer Lena Ortiz leading the project. The bridge connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later facilitated the establishment of a night market near the depot.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, and Lena Ortiz led the project. It connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later helped create a night market near the depot.",,1.0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,surface_noise,0,0,perturbed,0,"Use only the VERIFIED RECORD and ignore the DECOY RECORD. Answer in exactly two complete sentences. Include the trigger event, date, named person or organizations, affected group or location, outcome, and later significance. Do not include any decoy details.

Passage: VERIFIED RECORD: Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route. Engineer Lena Ortiz led the project. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later helped create a night market near the depot. DECOY RECORD: Aster Bridge opened in 1908 after a factory fire. Engineer Marcus Vale led the project. It connected the courthouse to the harbor and later supported a shipyard expansion.

Question: Summarize the VERIFIED record about Aster Bridge.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, led by engineer Lena Ortiz. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later facilitated the establishment of a night market near the depot.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, and Lena Ortiz led the project. It connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later helped create a night market near the depot.",,1.0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,surface_noise,0,0,perturbed,1,"Use only the VERIFIED RECORD and ignore the DECOY RECORD. Answer in exactly two complete sentences. Include the trigger event, date, named person or organizations, affected group or location, outcome, and later significance. Do not include any decoy details.

Passage: VERIFIED RECORD: Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route. Engineer Lena Ortiz led the project. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later helped create a night market near the depot. DECOY RECORD: Aster Bridge opened in 1908 after a factory fire. Engineer Marcus Vale led the project. It connected the courthouse to the harbor and later supported a shipyard expansion.

Question: Summarize the VERIFIED record about Aster Bridge.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, led by engineer Lena Ortiz. The bridge connected the mill district to the rail depot, reducing crossing time to twelve minutes and later facilitating the creation of a night market near the depot.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, and Lena Ortiz led the project. It connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later helped create a night market near the depot.",,1.0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,surface_noise,0,0,perturbed,2,"Use only the VERIFIED RECORD and ignore the DECOY RECORD. Answer in exactly two complete sentences. Include the trigger event, date, named person or organizations, affected group or location, outcome, and later significance. Do not include any decoy details.

Passage: VERIFIED RECORD: Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route. Engineer Lena Ortiz led the project. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later helped create a night market near the depot. DECOY RECORD: Aster Bridge opened in 1908 after a factory fire. Engineer Marcus Vale led the project. It connected the courthouse to the harbor and later supported a shipyard expansion.

Question: Summarize the VERIFIED record about Aster Bridge.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, with engineer Lena Ortiz leading the project. The bridge connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later facilitated the establishment of a night market near the depot.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, and Lena Ortiz led the project. It connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later helped create a night market near the depot.",,1.0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,surface_noise,1,1,perturbed,0,"Use only the VERIFIED RECORD and ignore the DECOY RECORD. Answer in exactly two complete sentences. Include the trigger event, date, named person or organizations, affected group or locaation, outcome, and later significance. Do not include any decoy details.

Passage: VERIFIED RECORD: Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route. Engineer Lena Ortiz led the project. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later helped create a night market near the depot. DECOY RECORD: Aster Bridge opened in 1908 after a factory fire. Engineer Marcus Vale led the project. It connected the courthouse to the harbor and later supported a shipyard expansion.

Question: Summarize the VERIFIED record about Aster Bridge.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, with engineer Lena Ortiz leading the project. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later contributed to the establishment of a night market near the depot.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, and Lena Ortiz led the project. It connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later helped create a night market near the depot.",,1.0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,surface_noise,1,1,perturbed,1,"Use only the VERIFIED RECORD and ignore the DECOY RECORD. Answer in exactly two complete sentences. Include the trigger event, date, named person or organizations, affected group or locaation, outcome, and later significance. Do not include any decoy details.

Passage: VERIFIED RECORD: Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route. Engineer Lena Ortiz led the project. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later helped create a night market near the depot. DECOY RECORD: Aster Bridge opened in 1908 after a factory fire. Engineer Marcus Vale led the project. It connected the courthouse to the harbor and later supported a shipyard expansion.

Question: Summarize the VERIFIED record about Aster Bridge.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, with engineer Lena Ortiz leading the project. The bridge connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later facilitated the creation of a night market near the depot.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, and Lena Ortiz led the project. It connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later helped create a night market near the depot.",,1.0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,surface_noise,1,1,perturbed,2,"Use only the VERIFIED RECORD and ignore the DECOY RECORD. Answer in exactly two complete sentences. Include the trigger event, date, named person or organizations, affected group or locaation, outcome, and later significance. Do not include any decoy details.

Passage: VERIFIED RECORD: Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route. Engineer Lena Ortiz led the project. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later helped create a night market near the depot. DECOY RECORD: Aster Bridge opened in 1908 after a factory fire. Engineer Marcus Vale led the project. It connected the courthouse to the harbor and later supported a shipyard expansion.

Question: Summarize the VERIFIED record about Aster Bridge.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, led by engineer Lena Ortiz. The bridge connected the mill district to the rail depot, reducing the crossing time to twelve minutes and later contributing to the establishment of a night market near the depot.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, and Lena Ortiz led the project. It connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later helped create a night market near the depot.",,1.0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,surface_noise,2,2,perturbed,0,"Use only the VERIFIED RECORD and ignore the DECOY RECORD. Answer in exactly two complete sentences. Include the trigger event, date, named person or organizations, affected group or locaation, outome, and later significance. Do not include any decoy details.

Passage: VERIFIED RECORD: Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route. Engineer Lena Ortiz led the project. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later helped create a night market near the depot. DECOY RECORD: Aster Bridge opened in 1908 after a factory fire. Engineer Marcus Vale led the project. It connected the courthouse to the harbor and later supported a shipyard expansion.

Question: Summarize the VERIFIED record about Aster Bridge.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, with engineer Lena Ortiz leading the project. The bridge connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later contributed to the establishment of a night market near the depot.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, and Lena Ortiz led the project. It connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later helped create a night market near the depot.",,1.0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,surface_noise,2,2,perturbed,1,"Use only the VERIFIED RECORD and ignore the DECOY RECORD. Answer in exactly two complete sentences. Include the trigger event, date, named person or organizations, affected group or locaation, outome, and later significance. Do not include any decoy details.

Passage: VERIFIED RECORD: Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route. Engineer Lena Ortiz led the project. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later helped create a night market near the depot. DECOY RECORD: Aster Bridge opened in 1908 after a factory fire. Engineer Marcus Vale led the project. It connected the courthouse to the harbor and later supported a shipyard expansion.

Question: Summarize the VERIFIED record about Aster Bridge.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, led by engineer Lena Ortiz. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later contributed to the establishment of a night market near the depot.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, and Lena Ortiz led the project. It connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later helped create a night market near the depot.",,1.0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,surface_noise,2,2,perturbed,2,"Use only the VERIFIED RECORD and ignore the DECOY RECORD. Answer in exactly two complete sentences. Include the trigger event, date, named person or organizations, affected group or locaation, outome, and later significance. Do not include any decoy details.

Passage: VERIFIED RECORD: Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route. Engineer Lena Ortiz led the project. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later helped create a night market near the depot. DECOY RECORD: Aster Bridge opened in 1908 after a factory fire. Engineer Marcus Vale led the project. It connected the courthouse to the harbor and later supported a shipyard expansion.

Question: Summarize the VERIFIED record about Aster Bridge.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, led by engineer Lena Ortiz. The bridge connected the mill district to the rail depot, reducing the crossing time to twelve minutes and later contributing to the establishment of a night market near the depot.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, and Lena Ortiz led the project. It connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later helped create a night market near the depot.",,1.0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,surface_noise,3,4,perturbed,0,"Use only the VERIFIED RECORD and ignore the DECOY RECORD. Answer in exactly two complete sentences. Include the trigger event, date, named person or organizations, affected group or locaation, outome, and ltaer signifocance. Do not include any decoy details.

Passage: VERIFIED RECORD: Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route. Engineer Lena Ortiz led the project. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later helped create a night market near the depot. DECOY RECORD: Aster Bridge opened in 1908 after a factory fire. Engineer Marcus Vale led the project. It connected the courthouse to the harbor and later supported a shipyard expansion.

Question: Summarize the VERIFIED record about Aster Bridge.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, with engineer Lena Ortiz leading the project. The bridge connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later contributed to the establishment of a night market near the depot, highlighting its significance in enhancing local commerce.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, and Lena Ortiz led the project. It connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later helped create a night market near the depot.",,1.0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,surface_noise,3,4,perturbed,1,"Use only the VERIFIED RECORD and ignore the DECOY RECORD. Answer in exactly two complete sentences. Include the trigger event, date, named person or organizations, affected group or locaation, outome, and ltaer signifocance. Do not include any decoy details.

Passage: VERIFIED RECORD: Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route. Engineer Lena Ortiz led the project. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later helped create a night market near the depot. DECOY RECORD: Aster Bridge opened in 1908 after a factory fire. Engineer Marcus Vale led the project. It connected the courthouse to the harbor and later supported a shipyard expansion.

Question: Summarize the VERIFIED record about Aster Bridge.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, led by engineer Lena Ortiz. The bridge connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later contributed to the establishment of a night market near the depot, highlighting its significance in enhancing local commerce and connectivity.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, and Lena Ortiz led the project. It connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later helped create a night market near the depot.",,1.0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,surface_noise,3,4,perturbed,2,"Use only the VERIFIED RECORD and ignore the DECOY RECORD. Answer in exactly two complete sentences. Include the trigger event, date, named person or organizations, affected group or locaation, outome, and ltaer signifocance. Do not include any decoy details.

Passage: VERIFIED RECORD: Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route. Engineer Lena Ortiz led the project. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later helped create a night market near the depot. DECOY RECORD: Aster Bridge opened in 1908 after a factory fire. Engineer Marcus Vale led the project. It connected the courthouse to the harbor and later supported a shipyard expansion.

Question: Summarize the VERIFIED record about Aster Bridge.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, with engineer Lena Ortiz leading the project. The bridge connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later facilitated the establishment of a night market near the depot, highlighting its significant impact on local commerce.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, and Lena Ortiz led the project. It connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later helped create a night market near the depot.",,1.0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,surface_noise,4,8,perturbed,0,"Use onky the VERIFIED RECORD and ignore the DECOY RECORD. Answer in exactly two complete sentences. Include the trigger event, date, named person or organizations, affected group or locaation, outome, and ltaer signifocance. Do not incclude any deoy deatils.

Passage: VERIFIED RECORD: Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route. Engineer Lena Ortiz led the project. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later helped create a night market near the depot. DECOY RECORD: Aster Bridge opened in 1908 after a factory fire. Engineer Marcus Vale led the project. It connected the courthouse to the harbor and later supported a shipyard expansion.

Question: Summarize the VERIFIED record about Aster Bridge.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, led by engineer Lena Ortiz. The bridge connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later contributed to the establishment of a night market near the depot, highlighting its significance in enhancing local commerce.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, and Lena Ortiz led the project. It connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later helped create a night market near the depot.",,1.0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,surface_noise,4,8,perturbed,1,"Use onky the VERIFIED RECORD and ignore the DECOY RECORD. Answer in exactly two complete sentences. Include the trigger event, date, named person or organizations, affected group or locaation, outome, and ltaer signifocance. Do not incclude any deoy deatils.

Passage: VERIFIED RECORD: Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route. Engineer Lena Ortiz led the project. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later helped create a night market near the depot. DECOY RECORD: Aster Bridge opened in 1908 after a factory fire. Engineer Marcus Vale led the project. It connected the courthouse to the harbor and later supported a shipyard expansion.

Question: Summarize the VERIFIED record about Aster Bridge.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, led by engineer Lena Ortiz. The bridge connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later contributed to the establishment of a night market near the depot, highlighting its significance in enhancing local commerce.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, and Lena Ortiz led the project. It connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later helped create a night market near the depot.",,1.0
rq2_dose_longfact_01,long_factual_qa,LongFactQA-Stress-Decoy,surface_noise,4,8,perturbed,2,"Use onky the VERIFIED RECORD and ignore the DECOY RECORD. Answer in exactly two complete sentences. Include the trigger event, date, named person or organizations, affected group or locaation, outome, and ltaer signifocance. Do not incclude any deoy deatils.

Passage: VERIFIED RECORD: Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route. Engineer Lena Ortiz led the project. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later helped create a night market near the depot. DECOY RECORD: Aster Bridge opened in 1908 after a factory fire. Engineer Marcus Vale led the project. It connected the courthouse to the harbor and later supported a shipyard expansion.

Question: Summarize the VERIFIED record about Aster Bridge.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, with engineer Lena Ortiz leading the project. The bridge connected the mill district to the rail depot, reduced the crossing time to twelve minutes, and later contributed to the establishment of a night market near the depot, highlighting its significance in enhancing local commerce.","Aster Bridge opened in Harbor City in 1896 after a spring flood damaged the old ferry route, and Lena Ortiz led the project. It connected the mill district to the rail depot, reduced crossing time to twelve minutes, and later helped create a night market near the depot.",,1.0
rq2_dose_longfact_02,long_factual_qa,LongFactQA-Stress-Decoy,surface_noise,0,0,original,0,"Use only the VERIFIED RECORD and ignore the DECOY RECORD. Answer in exactly two complete sentences. Include the trigger event, date, named person or organizations, affected group or location, outcome, and later significance. Do not include any decoy details.

Passage: VERIFIED RECORD: Riverbend Clinic began a measles vaccination drive in 1974 after three school outbreaks. Nurse Priya Raman organized mobile weekend visits. The campaign reached migrant farm families, vaccinated 8,400 children, and led the county to create a permanent immunization registry. DECOY RECORD: Riverbend Clinic began a polio screening drive in 1982 after a water shortage. Dr. Owen Blake organized evening lectures. The campaign reached factory workers, screened 4,100 adults, and led to a temporary pharmacy fund.

Question: Summarize the VERIFIED record about Riverbend Clinic.","In 1974, Riverbend Clinic initiated a measles vaccination drive after three school outbreaks, organized by Nurse Priya Raman. The campaign successfully vaccinated 8,400 children, leading to the establishment of a permanent immunization registry in the county.","Riverbend Clinic began a measles vaccination drive in 1974 after three school outbreaks. Priya Raman organized mobile weekend visits that reached migrant farm families, vaccinated 8,400 children, and led to a permanent county immunization registry.",,0.8571428571428571
rq2_dose_longfact_02,long_factual_qa,LongFactQA-Stress-Decoy,surface_noise,0,0,original,1,"Use only the VERIFIED RECORD and ignore the DECOY RECORD. Answer in exactly two complete sentences. Include the trigger event, date, named person or organizations, affected group or location, outcome, and later significance. Do not include any decoy details.

Passage: VERIFIED RECORD: Riverbend Clinic began a measles vaccination drive in 1974 after three school outbreaks. Nurse Priya Raman organized mobile weekend visits. The campaign reached migrant farm families, vaccinated 8,400 children, and led the county to create a permanent immunization registry. DECOY RECORD: Riverbend Clinic began a polio screening drive in 1982 after a water shortage. Dr. Owen Blake organized evening lectures. The campaign reached factory workers, screened 4,100 adults, and led to a temporary pharmacy fund.

Question: Summarize the VERIFIED record about Riverbend Clinic.","In 1974, Riverbend Clinic initiated a measles vaccination drive following three school outbreaks, organized by Nurse Priya Raman, which successfully vaccinated 8,400 children among migrant farm families. This campaign resulted in the establishment of a permanent immunization registry in the county, highlighting the importance of vaccination efforts in public health.","Riverbend Clinic began a measles vaccination drive in 1974 after three school outbreaks. Priya Raman organized mobile weekend visits that reached migrant farm families, vaccinated 8,400 children, and led to a permanent county immunization registry.",,1.0
rq2_dose_longfact_02,long_factual_qa,LongFactQA-Stress-Decoy,surface_noise,0,0,original,2,"Use only the VERIFIED RECORD and ignore the DECOY RECORD. Answer in exactly two complete sentences. Include the trigger event, date, named person or organizations, affected group or location, outcome, and later significance. Do not include any decoy details.

Passage: VERIFIED RECORD: Riverbend Clinic began a measles vaccination drive in 1974 after three school outbreaks. Nurse Priya Raman organized mobile weekend visits. The campaign reached migrant farm families, vaccinated 8,400 children, and led the county to create a permanent immunization registry. DECOY RECORD: Riverbend Clinic began a polio screening drive in 1982 after a water shortage. Dr. Owen Blake organized evening lectures. The campaign reached factory workers, screened 4,100 adults, and led to a temporary pharmacy fund.

Question: Summarize the VERIFIED record about Riverbend Clinic.","In 1974, Riverbend Clinic initiated a measles vaccination drive after three school outbreaks, organized by Nurse Priya Raman, which successfully vaccinated 8,400 children from migrant farm families. This campaign resulted in the establishment of a permanent immunization registry in the county, highlighting the importance of vaccination efforts in public health.","Riverbend Clinic began a measles vaccination drive in 1974 after three school outbreaks. Priya Raman organized mobile weekend visits that reached migrant farm families, vaccinated 8,400 children, and led to a permanent county immunization registry.",,1.0
