task_type,perturbation_type,n_items,mean_noise_corrected_drift,std_noise_corrected_drift,similarity_metric
code_generation,context_injection,50,0.039872,0.085629,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation,formatting_changes,50,0.007126,0.032374,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation,paraphrasing,50,0.080167,0.087655,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation,reordering,50,0.054528,0.087898,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation,surface_noise,50,0.017175,0.059367,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa,context_injection,50,0.041968,0.09784,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa,formatting_changes,50,0.01626,0.055399,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa,paraphrasing,50,0.433959,0.204488,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa,reordering,50,0.135303,0.18172,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa,surface_noise,50,-0.000663,0.030334,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning,context_injection,50,0.014823,0.041396,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning,formatting_changes,50,0.002407,0.028486,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning,paraphrasing,50,0.088174,0.141993,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning,reordering,50,0.002464,0.028422,"sklearn HashingVectorizer char_wb(3,5) cosine"
math_reasoning,surface_noise,50,0.005306,0.028262,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing,context_injection,50,0.053504,0.106296,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing,formatting_changes,50,0.042421,0.161187,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing,paraphrasing,50,0.246076,0.300809,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing,reordering,50,0.071301,0.125236,"sklearn HashingVectorizer char_wb(3,5) cosine"
open_ended_writing,surface_noise,50,0.041285,0.154063,"sklearn HashingVectorizer char_wb(3,5) cosine"
