group,n,pearson_r,pearson_p,spearman_rho,spearman_p
overall,200,0.290812,2.9e-05,0.262458,0.000174
task=code_generation,50,0.402732,0.003736,0.085618,0.554395
task=factual_qa,50,0.178867,0.213927,0.252355,0.077057
task=math_reasoning,50,0.218089,0.128134,0.097623,0.500023
task=open_ended_writing,50,0.37921,0.006611,0.297808,0.035687
perturbation=context_injection,40,0.229179,0.15488,0.293146,0.066389
perturbation=formatting_changes,40,0.047239,0.772234,0.065116,0.689748
perturbation=paraphrasing,40,0.183163,0.257931,0.382364,0.014895
perturbation=reordering,40,0.137939,0.39599,0.072517,0.656548
perturbation=surface_noise,40,0.204651,0.205248,0.012121,0.940825
task=code_generation;perturbation=context_injection,10,0.223339,0.535094,0.309091,0.384841
task=code_generation;perturbation=formatting_changes,10,-0.347548,0.325107,-0.115152,0.75142
task=code_generation;perturbation=paraphrasing,10,0.819142,0.00374,0.527273,0.117308
task=code_generation;perturbation=reordering,10,0.17972,0.619316,-0.309091,0.384841
task=code_generation;perturbation=surface_noise,10,-0.524957,0.119224,-0.478788,0.161523
task=factual_qa;perturbation=context_injection,10,0.262795,0.463218,0.079761,0.826629
task=factual_qa;perturbation=formatting_changes,10,-0.567951,0.086758,-0.558324,0.093464
task=factual_qa;perturbation=paraphrasing,10,-0.422972,0.223269,-0.539394,0.107593
task=factual_qa;perturbation=reordering,10,-0.306434,0.389153,-0.321212,0.365468
task=factual_qa;perturbation=surface_noise,10,-0.264916,0.459482,-0.484699,0.155667
task=math_reasoning;perturbation=context_injection,10,-0.151951,0.675176,-0.115152,0.75142
task=math_reasoning;perturbation=formatting_changes,10,0.587514,0.074101,0.127273,0.726057
task=math_reasoning;perturbation=paraphrasing,10,0.644651,0.044193,0.430303,0.214492
task=math_reasoning;perturbation=reordering,10,0.776981,0.008187,-0.018182,0.96024
task=math_reasoning;perturbation=surface_noise,10,-0.168234,0.642229,-0.10303,0.776998
task=open_ended_writing;perturbation=context_injection,10,-0.111017,0.760121,0.060791,0.867511
task=open_ended_writing;perturbation=formatting_changes,10,0.040283,0.912025,-0.030677,0.932957
task=open_ended_writing;perturbation=paraphrasing,10,0.401574,0.250036,0.381818,0.276255
task=open_ended_writing;perturbation=reordering,10,0.336822,0.341255,0.103344,0.776334
task=open_ended_writing;perturbation=surface_noise,10,0.326939,0.356488,0.423345,0.222818
