item_id,task_type,perturbation_type,n_original_outputs,n_perturbed_outputs,baseline_similarity,perturbation_similarity,uncorrected_drift,noise_corrected_drift,similarity_metric
code_generation_102,code_generation,context_injection,5,5,0.969638,0.958196,0.041804,0.011442,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,formatting_changes,5,5,0.969638,0.962799,0.037201,0.006839,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,paraphrasing,5,5,0.969638,0.959571,0.040429,0.010066,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,reordering,5,5,0.969638,0.965205,0.034795,0.004433,sentence-transformers/all-MiniLM-L6-v2
code_generation_102,code_generation,surface_noise,5,5,0.969638,0.96244,0.03756,0.007198,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,context_injection,5,5,0.960793,0.961738,0.038262,-0.000945,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,formatting_changes,5,5,0.960793,0.959872,0.040128,0.000921,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,paraphrasing,5,5,0.960793,0.960657,0.039343,0.000136,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,reordering,5,5,0.960793,0.946154,0.053846,0.014639,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,surface_noise,5,5,0.960793,0.962459,0.037541,-0.001666,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,context_injection,5,5,0.94014,0.93874,0.06126,0.0014,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,formatting_changes,5,5,0.94014,0.94548,0.05452,-0.00534,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,paraphrasing,5,5,0.94014,0.944048,0.055952,-0.003908,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,reordering,5,5,0.94014,0.941723,0.058277,-0.001583,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,surface_noise,5,5,0.94014,0.931796,0.068204,0.008344,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,context_injection,5,5,0.814123,0.844768,0.155232,-0.030646,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,formatting_changes,5,5,0.814123,0.834828,0.165172,-0.020706,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,paraphrasing,5,5,0.814123,0.812822,0.187178,0.001301,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,reordering,5,5,0.814123,0.845721,0.154279,-0.031599,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,surface_noise,5,5,0.814123,0.856641,0.143359,-0.042518,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,context_injection,5,5,0.902862,0.905517,0.094483,-0.002655,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,formatting_changes,5,5,0.902862,0.9137,0.0863,-0.010838,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,paraphrasing,5,5,0.902862,0.916044,0.083956,-0.013182,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,reordering,5,5,0.902862,0.933545,0.066455,-0.030683,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,surface_noise,5,5,0.902862,0.930616,0.069384,-0.027754,sentence-transformers/all-MiniLM-L6-v2
code_generation_110,code_generation,context_injection,5,5,0.899902,0.909913,0.090087,-0.010012,sentence-transformers/all-MiniLM-L6-v2
code_generation_110,code_generation,formatting_changes,5,5,0.899902,0.912744,0.087256,-0.012842,sentence-transformers/all-MiniLM-L6-v2
