item_id,task_type,dataset_name,n_outputs,n_pairs,mean_within_prompt_similarity,sampling_noise_drift,similarity_metric
code_generation_102,code_generation,bigcode/humanevalpack,5,10,0.969638,0.030362,sentence-transformers/all-MiniLM-L6-v2
code_generation_104,code_generation,bigcode/humanevalpack,5,10,0.960793,0.039207,sentence-transformers/all-MiniLM-L6-v2
code_generation_107,code_generation,bigcode/humanevalpack,5,10,0.94014,0.05986,sentence-transformers/all-MiniLM-L6-v2
code_generation_109,code_generation,bigcode/humanevalpack,5,10,0.814123,0.185877,sentence-transformers/all-MiniLM-L6-v2
code_generation_11,code_generation,bigcode/humanevalpack,5,10,0.902862,0.097138,sentence-transformers/all-MiniLM-L6-v2
code_generation_110,code_generation,bigcode/humanevalpack,5,10,0.899902,0.100098,sentence-transformers/all-MiniLM-L6-v2
code_generation_112,code_generation,bigcode/humanevalpack,5,10,0.970576,0.029424,sentence-transformers/all-MiniLM-L6-v2
code_generation_117,code_generation,bigcode/humanevalpack,5,10,0.942853,0.057147,sentence-transformers/all-MiniLM-L6-v2
code_generation_12,code_generation,bigcode/humanevalpack,5,10,0.933659,0.066341,sentence-transformers/all-MiniLM-L6-v2
code_generation_122,code_generation,bigcode/humanevalpack,5,10,0.942154,0.057846,sentence-transformers/all-MiniLM-L6-v2
code_generation_128,code_generation,bigcode/humanevalpack,5,10,0.940687,0.059313,sentence-transformers/all-MiniLM-L6-v2
code_generation_13,code_generation,bigcode/humanevalpack,5,10,0.954813,0.045187,sentence-transformers/all-MiniLM-L6-v2
code_generation_131,code_generation,bigcode/humanevalpack,5,10,0.943399,0.056601,sentence-transformers/all-MiniLM-L6-v2
code_generation_135,code_generation,bigcode/humanevalpack,5,10,0.945223,0.054777,sentence-transformers/all-MiniLM-L6-v2
code_generation_138,code_generation,bigcode/humanevalpack,5,10,0.936256,0.063744,sentence-transformers/all-MiniLM-L6-v2
code_generation_142,code_generation,bigcode/humanevalpack,5,10,0.93953,0.06047,sentence-transformers/all-MiniLM-L6-v2
code_generation_143,code_generation,bigcode/humanevalpack,5,10,0.979029,0.020971,sentence-transformers/all-MiniLM-L6-v2
code_generation_145,code_generation,bigcode/humanevalpack,5,10,0.956773,0.043227,sentence-transformers/all-MiniLM-L6-v2
code_generation_146,code_generation,bigcode/humanevalpack,5,10,0.940288,0.059712,sentence-transformers/all-MiniLM-L6-v2
code_generation_15,code_generation,bigcode/humanevalpack,5,10,0.956041,0.043959,sentence-transformers/all-MiniLM-L6-v2
code_generation_153,code_generation,bigcode/humanevalpack,5,10,0.955978,0.044022,sentence-transformers/all-MiniLM-L6-v2
code_generation_157,code_generation,bigcode/humanevalpack,5,10,0.93224,0.06776,sentence-transformers/all-MiniLM-L6-v2
