scope,n,x,y,pearson,spearman
all_levels,2,strength_edits,mean_cross_similarity,,
all_levels,2,strength_edits,noise_corrected_drift,,
all_levels,2,strength_edits,abs_repeated_pass_rate_change,,
all_levels,2,mean_cross_similarity,abs_repeated_pass_rate_change,,
all_levels,2,mean_paired_similarity,abs_repeated_pass_rate_change,,
all_levels,2,noise_corrected_drift,abs_repeated_pass_rate_change,,
all_levels,2,mean_cross_similarity,harmful_correctness_drop,,
all_levels,2,noise_corrected_drift,harmful_correctness_drop,,
task:factual_qa,2,strength_edits,mean_cross_similarity,,
task:factual_qa,2,strength_edits,noise_corrected_drift,,
task:factual_qa,2,strength_edits,abs_repeated_pass_rate_change,,
task:factual_qa,2,mean_cross_similarity,abs_repeated_pass_rate_change,,
task:factual_qa,2,mean_paired_similarity,abs_repeated_pass_rate_change,,
task:factual_qa,2,noise_corrected_drift,abs_repeated_pass_rate_change,,
task:factual_qa,2,mean_cross_similarity,harmful_correctness_drop,,
task:factual_qa,2,noise_corrected_drift,harmful_correctness_drop,,
