item_id,task_type,perturbation_type,n_original_outputs,n_perturbed_outputs,baseline_similarity,perturbation_similarity,uncorrected_drift,noise_corrected_drift,similarity_metric
code_generation_102,code_generation,context_injection,5,5,0.780223,0.621605,0.378395,0.158618,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_102,code_generation,formatting_changes,5,5,0.780223,0.701336,0.298664,0.078887,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_102,code_generation,paraphrasing,5,5,0.780223,0.699494,0.300506,0.080729,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_102,code_generation,reordering,5,5,0.780223,0.72153,0.27847,0.058693,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_102,code_generation,surface_noise,5,5,0.780223,0.778387,0.221613,0.001836,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_104,code_generation,context_injection,5,5,0.723239,0.718979,0.281021,0.004259,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_104,code_generation,formatting_changes,5,5,0.723239,0.746368,0.253632,-0.02313,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_104,code_generation,paraphrasing,5,5,0.723239,0.695415,0.304585,0.027823,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_104,code_generation,reordering,5,5,0.723239,0.745583,0.254417,-0.022344,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_104,code_generation,surface_noise,5,5,0.723239,0.731445,0.268555,-0.008206,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_107,code_generation,context_injection,5,5,0.685253,0.695657,0.304343,-0.010404,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_107,code_generation,formatting_changes,5,5,0.685253,0.743557,0.256443,-0.058304,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_107,code_generation,paraphrasing,5,5,0.685253,0.774187,0.225813,-0.088934,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_107,code_generation,reordering,5,5,0.685253,0.715182,0.284818,-0.029929,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_107,code_generation,surface_noise,5,5,0.685253,0.769691,0.230309,-0.084438,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_109,code_generation,context_injection,5,5,0.850806,0.804465,0.195535,0.046341,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_109,code_generation,formatting_changes,5,5,0.850806,0.83564,0.16436,0.015166,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_109,code_generation,paraphrasing,5,5,0.850806,0.798311,0.201689,0.052496,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_109,code_generation,reordering,5,5,0.850806,0.811736,0.188264,0.039071,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_109,code_generation,surface_noise,5,5,0.850806,0.835657,0.164343,0.015149,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_11,code_generation,context_injection,5,5,0.83829,0.646963,0.353037,0.191327,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_11,code_generation,formatting_changes,5,5,0.83829,0.729099,0.270901,0.109191,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_11,code_generation,paraphrasing,5,5,0.83829,0.661494,0.338506,0.176796,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_11,code_generation,reordering,5,5,0.83829,0.659579,0.340421,0.17871,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_11,code_generation,surface_noise,5,5,0.83829,0.778518,0.221482,0.059771,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_110,code_generation,context_injection,5,5,0.718622,0.709152,0.290848,0.00947,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_110,code_generation,formatting_changes,5,5,0.718622,0.745459,0.254541,-0.026837,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_110,code_generation,paraphrasing,5,5,0.718622,0.587695,0.412305,0.130926,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_110,code_generation,reordering,5,5,0.718622,0.680805,0.319195,0.037817,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_110,code_generation,surface_noise,5,5,0.718622,0.723416,0.276584,-0.004795,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_112,code_generation,context_injection,5,5,0.529289,0.649834,0.350166,-0.120545,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_112,code_generation,formatting_changes,5,5,0.529289,0.623856,0.376144,-0.094567,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_112,code_generation,paraphrasing,5,5,0.529289,0.620559,0.379441,-0.09127,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_112,code_generation,reordering,5,5,0.529289,0.653546,0.346454,-0.124256,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_112,code_generation,surface_noise,5,5,0.529289,0.578519,0.421481,-0.04923,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_117,code_generation,context_injection,5,5,0.86395,0.851041,0.148959,0.012909,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_117,code_generation,formatting_changes,5,5,0.86395,0.729332,0.270668,0.134617,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_117,code_generation,paraphrasing,5,5,0.86395,0.855223,0.144777,0.008726,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_117,code_generation,reordering,5,5,0.86395,0.845334,0.154666,0.018615,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_117,code_generation,surface_noise,5,5,0.86395,0.815426,0.184574,0.048524,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_12,code_generation,context_injection,5,5,0.84221,0.77135,0.22865,0.07086,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_12,code_generation,formatting_changes,5,5,0.84221,0.826483,0.173517,0.015727,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_12,code_generation,paraphrasing,5,5,0.84221,0.810082,0.189918,0.032127,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_12,code_generation,reordering,5,5,0.84221,0.769979,0.230021,0.072231,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_12,code_generation,surface_noise,5,5,0.84221,0.848902,0.151098,-0.006692,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_122,code_generation,context_injection,5,5,0.827115,0.801868,0.198132,0.025247,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_122,code_generation,formatting_changes,5,5,0.827115,0.844649,0.155351,-0.017534,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_122,code_generation,paraphrasing,5,5,0.827115,0.816016,0.183984,0.011098,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_122,code_generation,reordering,5,5,0.827115,0.843374,0.156626,-0.01626,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_122,code_generation,surface_noise,5,5,0.827115,0.817172,0.182828,0.009942,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_128,code_generation,context_injection,5,5,0.637616,0.681169,0.318831,-0.043554,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_128,code_generation,formatting_changes,5,5,0.637616,0.707877,0.292123,-0.070261,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_128,code_generation,paraphrasing,5,5,0.637616,0.595203,0.404797,0.042412,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_128,code_generation,reordering,5,5,0.637616,0.713556,0.286444,-0.075941,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_128,code_generation,surface_noise,5,5,0.637616,0.72137,0.27863,-0.083754,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_13,code_generation,context_injection,5,5,0.785416,0.815793,0.184207,-0.030377,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_13,code_generation,formatting_changes,5,5,0.785416,0.761753,0.238247,0.023663,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_13,code_generation,paraphrasing,5,5,0.785416,0.805051,0.194949,-0.019635,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_13,code_generation,reordering,5,5,0.785416,0.76592,0.23408,0.019496,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_13,code_generation,surface_noise,5,5,0.785416,0.780375,0.219625,0.005041,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_131,code_generation,context_injection,5,5,0.899106,0.827097,0.172903,0.072009,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_131,code_generation,formatting_changes,5,5,0.899106,0.848071,0.151929,0.051035,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_131,code_generation,paraphrasing,5,5,0.899106,0.837808,0.162192,0.061298,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_131,code_generation,reordering,5,5,0.899106,0.846356,0.153644,0.05275,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_131,code_generation,surface_noise,5,5,0.899106,0.863315,0.136685,0.035791,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_135,code_generation,context_injection,5,5,0.748476,0.709283,0.290717,0.039193,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_135,code_generation,formatting_changes,5,5,0.748476,0.774162,0.225838,-0.025686,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_135,code_generation,paraphrasing,5,5,0.748476,0.688039,0.311961,0.060437,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_135,code_generation,reordering,5,5,0.748476,0.748728,0.251272,-0.000252,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_135,code_generation,surface_noise,5,5,0.748476,0.790796,0.209204,-0.04232,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_138,code_generation,context_injection,5,5,0.721195,0.720186,0.279814,0.001009,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_138,code_generation,formatting_changes,5,5,0.721195,0.735123,0.264877,-0.013928,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_138,code_generation,paraphrasing,5,5,0.721195,0.67123,0.32877,0.049965,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_138,code_generation,reordering,5,5,0.721195,0.736673,0.263327,-0.015478,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_138,code_generation,surface_noise,5,5,0.721195,0.753111,0.246889,-0.031916,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_142,code_generation,context_injection,5,5,0.821647,0.763209,0.236791,0.058438,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_142,code_generation,formatting_changes,5,5,0.821647,0.771632,0.228368,0.050015,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_142,code_generation,paraphrasing,5,5,0.821647,0.738709,0.261291,0.082938,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_142,code_generation,reordering,5,5,0.821647,0.836529,0.163471,-0.014882,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_142,code_generation,surface_noise,5,5,0.821647,0.786557,0.213443,0.035089,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_143,code_generation,context_injection,5,5,0.772435,0.81373,0.18627,-0.041295,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_143,code_generation,formatting_changes,5,5,0.772435,0.800614,0.199386,-0.02818,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_143,code_generation,paraphrasing,5,5,0.772435,0.694483,0.305517,0.077951,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_143,code_generation,reordering,5,5,0.772435,0.795756,0.204244,-0.023321,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_143,code_generation,surface_noise,5,5,0.772435,0.824855,0.175145,-0.05242,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_145,code_generation,context_injection,5,5,0.731611,0.660329,0.339671,0.071282,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_145,code_generation,formatting_changes,5,5,0.731611,0.69238,0.30762,0.039232,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_145,code_generation,paraphrasing,5,5,0.731611,0.806941,0.193059,-0.07533,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_145,code_generation,reordering,5,5,0.731611,0.547699,0.452301,0.183912,"sklearn HashingVectorizer char_wb(3,5) cosine"
