item_id,task_type,dataset_name,source_index,perturbation_type,sample_id,model_name,temperature,top_p,max_output_tokens,original_prompt,perturbed_prompt,output_text
factual_qa_11652,factual_qa,rajpurkar/squad_v2,11652,reordering,1,gpt-4o-mini,0.7,0.9,,"Context: The notion ""force"" keeps its meaning in quantum mechanics, though one is now dealing with operators instead of classical variables and though the physics is now described by the Schrödinger equation instead of Newtonian equations. This has the consequence that the results of a measurement are now sometimes ""quantized"", i.e. they appear in discrete portions. This is, of course, difficult to imagine in the context of ""forces"". However, the potentials V(x,y,z) or fields, from which the forces generally can be derived, are treated similar to classical position variables, i.e., .

Question: What equation desribed the physics of force before the current Schrodinger equation?","Question: What equation desribed the physics of force before the current Schrodinger equation?

Context: The notion ""force"" keeps its meaning in quantum mechanics, though one is now dealing with operators instead of classical variables and though the physics is now described by the Schrödinger equation instead of Newtonian equations. This has the consequence that the results of a measurement are now sometimes ""quantized"", i.e. they appear in discrete portions. This is, of course, difficult to imagine in the context of ""forces"". However, the potentials V(x,y,z) or fields, from which the forces generally can be derived, are treated similar to classical position variables, i.e., .","Before the Schrödinger equation, the physics of force was primarily described by Newton's second law of motion, which states:

\[ F = m a \]

where \( F \) is the force applied to an object, \( m \) is its mass, and \( a \) is the acceleration produced by the force. This classical framework laid the groundwork for understanding motion and forces before the advent of quantum mechanics and the formulation of the Schrödinger equation. In the context of classical mechanics, forces can also be derived from potential energy functions, with the relationship:

\[ F = -\nabla V \]

where \( V \) is the potential energy, and \( \nabla \) represents the gradient operator. This describes how forces arise from changes in potential energy in a system."
factual_qa_11652,factual_qa,rajpurkar/squad_v2,11652,reordering,2,gpt-4o-mini,0.7,0.9,,"Context: The notion ""force"" keeps its meaning in quantum mechanics, though one is now dealing with operators instead of classical variables and though the physics is now described by the Schrödinger equation instead of Newtonian equations. This has the consequence that the results of a measurement are now sometimes ""quantized"", i.e. they appear in discrete portions. This is, of course, difficult to imagine in the context of ""forces"". However, the potentials V(x,y,z) or fields, from which the forces generally can be derived, are treated similar to classical position variables, i.e., .

Question: What equation desribed the physics of force before the current Schrodinger equation?","Question: What equation desribed the physics of force before the current Schrodinger equation?

Context: The notion ""force"" keeps its meaning in quantum mechanics, though one is now dealing with operators instead of classical variables and though the physics is now described by the Schrödinger equation instead of Newtonian equations. This has the consequence that the results of a measurement are now sometimes ""quantized"", i.e. they appear in discrete portions. This is, of course, difficult to imagine in the context of ""forces"". However, the potentials V(x,y,z) or fields, from which the forces generally can be derived, are treated similar to classical position variables, i.e., .","Before the Schrödinger equation, the physics of force was primarily described by Newton's second law of motion, which is expressed as:

\[
F = ma
\]

where \( F \) is the force applied to an object, \( m \) is the mass of the object, and \( a \) is the acceleration produced by that force. This law forms the foundation of classical mechanics and describes how forces affect the motion of objects.

In the context of potential energy, forces can also be derived from a potential function \( V \) using the relation:

\[
F = -\nabla V
\]

where \( \nabla V \) is the gradient of the potential energy, indicating how the potential changes in space. This classical framework was the basis for understanding physical phenomena before the advent of quantum mechanics and the Schrödinger equation, which introduced a new way of describing the behavior of particles at the quantum level."
factual_qa_11652,factual_qa,rajpurkar/squad_v2,11652,reordering,3,gpt-4o-mini,0.7,0.9,,"Context: The notion ""force"" keeps its meaning in quantum mechanics, though one is now dealing with operators instead of classical variables and though the physics is now described by the Schrödinger equation instead of Newtonian equations. This has the consequence that the results of a measurement are now sometimes ""quantized"", i.e. they appear in discrete portions. This is, of course, difficult to imagine in the context of ""forces"". However, the potentials V(x,y,z) or fields, from which the forces generally can be derived, are treated similar to classical position variables, i.e., .

Question: What equation desribed the physics of force before the current Schrodinger equation?","Question: What equation desribed the physics of force before the current Schrodinger equation?

Context: The notion ""force"" keeps its meaning in quantum mechanics, though one is now dealing with operators instead of classical variables and though the physics is now described by the Schrödinger equation instead of Newtonian equations. This has the consequence that the results of a measurement are now sometimes ""quantized"", i.e. they appear in discrete portions. This is, of course, difficult to imagine in the context of ""forces"". However, the potentials V(x,y,z) or fields, from which the forces generally can be derived, are treated similar to classical position variables, i.e., .","Before the development of the Schrödinger equation, the physics of force was primarily described by Newton's second law of motion, which is expressed as:

\[ F = ma \]

where \( F \) is the force applied to an object, \( m \) is the mass of the object, and \( a \) is the acceleration produced by the force. 

In classical mechanics, forces are related to potentials through the concept of conservative forces, where the force can be derived from a potential energy function \( V \). For example, in one dimension, the force \( F \) can be expressed as:

\[ F(x) = -\frac{dV}{dx} \]

This framework was foundational in classical physics before the transition to quantum mechanics and the formulation of the Schrödinger equation, which redefined the understanding of physical systems at the quantum level."
factual_qa_11652,factual_qa,rajpurkar/squad_v2,11652,reordering,4,gpt-4o-mini,0.7,0.9,,"Context: The notion ""force"" keeps its meaning in quantum mechanics, though one is now dealing with operators instead of classical variables and though the physics is now described by the Schrödinger equation instead of Newtonian equations. This has the consequence that the results of a measurement are now sometimes ""quantized"", i.e. they appear in discrete portions. This is, of course, difficult to imagine in the context of ""forces"". However, the potentials V(x,y,z) or fields, from which the forces generally can be derived, are treated similar to classical position variables, i.e., .

Question: What equation desribed the physics of force before the current Schrodinger equation?","Question: What equation desribed the physics of force before the current Schrodinger equation?

Context: The notion ""force"" keeps its meaning in quantum mechanics, though one is now dealing with operators instead of classical variables and though the physics is now described by the Schrödinger equation instead of Newtonian equations. This has the consequence that the results of a measurement are now sometimes ""quantized"", i.e. they appear in discrete portions. This is, of course, difficult to imagine in the context of ""forces"". However, the potentials V(x,y,z) or fields, from which the forces generally can be derived, are treated similar to classical position variables, i.e., .","Before the Schrödinger equation, the physics of force was primarily described by Newton's second law of motion, which is expressed as:

\[ F = m \cdot a \]

where \( F \) is the force applied to an object, \( m \) is its mass, and \( a \) is the acceleration of the object. In classical mechanics, forces are often derived from potentials through the relationship:

\[ F = -\nabla V \]

where \( V \) is the potential energy and \( \nabla V \) represents the gradient of the potential, indicating the direction and magnitude of the force.

In the context of classical mechanics, forces are understood as continuous quantities affecting the motion of particles, which differs from the discrete nature of measurements in quantum mechanics as described by the Schrödinger equation."
factual_qa_11652,factual_qa,rajpurkar/squad_v2,11652,reordering,5,gpt-4o-mini,0.7,0.9,,"Context: The notion ""force"" keeps its meaning in quantum mechanics, though one is now dealing with operators instead of classical variables and though the physics is now described by the Schrödinger equation instead of Newtonian equations. This has the consequence that the results of a measurement are now sometimes ""quantized"", i.e. they appear in discrete portions. This is, of course, difficult to imagine in the context of ""forces"". However, the potentials V(x,y,z) or fields, from which the forces generally can be derived, are treated similar to classical position variables, i.e., .

Question: What equation desribed the physics of force before the current Schrodinger equation?","Question: What equation desribed the physics of force before the current Schrodinger equation?

Context: The notion ""force"" keeps its meaning in quantum mechanics, though one is now dealing with operators instead of classical variables and though the physics is now described by the Schrödinger equation instead of Newtonian equations. This has the consequence that the results of a measurement are now sometimes ""quantized"", i.e. they appear in discrete portions. This is, of course, difficult to imagine in the context of ""forces"". However, the potentials V(x,y,z) or fields, from which the forces generally can be derived, are treated similar to classical position variables, i.e., .","Before the Schrödinger equation was established in quantum mechanics, the physics of force was primarily described by Newton's second law of motion, which is given by the equation:

\[ F = ma \]

where \( F \) is the force acting on an object, \( m \) is its mass, and \( a \) is its acceleration. In classical mechanics, forces can also be derived from potential energy functions, typically expressed as:

\[ F = -\nabla V \]

where \( V \) is the potential energy, and \( \nabla V \) is the gradient of the potential energy, indicating the direction and magnitude of the force. This framework was foundational in understanding classical mechanics before the transition to quantum mechanics and the introduction of the Schrödinger equation."
factual_qa_436,factual_qa,rajpurkar/squad_v2,436,reordering,1,gpt-4o-mini,0.7,0.9,,"Context: Other important complexity classes include BPP, ZPP and RP, which are defined using probabilistic Turing machines; AC and NC, which are defined using Boolean circuits; and BQP and QMA, which are defined using quantum Turing machines. #P is an important complexity class of counting problems (not decision problems). Classes like IP and AM are defined using Interactive proof systems. ALL is the class of all decision problems.

Question: What is the expression used to represent a complexity class of counting problems?","Question: What is the expression used to represent a complexity class of counting problems?

Context: Other important complexity classes include BPP, ZPP and RP, which are defined using probabilistic Turing machines; AC and NC, which are defined using Boolean circuits; and BQP and QMA, which are defined using quantum Turing machines. #P is an important complexity class of counting problems (not decision problems). Classes like IP and AM are defined using Interactive proof systems. ALL is the class of all decision problems.","The expression used to represent a complexity class of counting problems is **#P** (sharp P). This class consists of counting problems associated with decision problems in NP, specifically those that count the number of accepting paths of a nondeterministic Turing machine."
factual_qa_436,factual_qa,rajpurkar/squad_v2,436,reordering,2,gpt-4o-mini,0.7,0.9,,"Context: Other important complexity classes include BPP, ZPP and RP, which are defined using probabilistic Turing machines; AC and NC, which are defined using Boolean circuits; and BQP and QMA, which are defined using quantum Turing machines. #P is an important complexity class of counting problems (not decision problems). Classes like IP and AM are defined using Interactive proof systems. ALL is the class of all decision problems.

Question: What is the expression used to represent a complexity class of counting problems?","Question: What is the expression used to represent a complexity class of counting problems?

Context: Other important complexity classes include BPP, ZPP and RP, which are defined using probabilistic Turing machines; AC and NC, which are defined using Boolean circuits; and BQP and QMA, which are defined using quantum Turing machines. #P is an important complexity class of counting problems (not decision problems). Classes like IP and AM are defined using Interactive proof systems. ALL is the class of all decision problems.","The expression used to represent a complexity class of counting problems is **#P** (pronounced ""sharp P""). This class consists of problems that count the number of accepting paths of a nondeterministic polynomial-time Turing machine, rather than simply deciding whether there exists at least one accepting path, which is the focus of the class NP."
factual_qa_436,factual_qa,rajpurkar/squad_v2,436,reordering,3,gpt-4o-mini,0.7,0.9,,"Context: Other important complexity classes include BPP, ZPP and RP, which are defined using probabilistic Turing machines; AC and NC, which are defined using Boolean circuits; and BQP and QMA, which are defined using quantum Turing machines. #P is an important complexity class of counting problems (not decision problems). Classes like IP and AM are defined using Interactive proof systems. ALL is the class of all decision problems.

Question: What is the expression used to represent a complexity class of counting problems?","Question: What is the expression used to represent a complexity class of counting problems?

Context: Other important complexity classes include BPP, ZPP and RP, which are defined using probabilistic Turing machines; AC and NC, which are defined using Boolean circuits; and BQP and QMA, which are defined using quantum Turing machines. #P is an important complexity class of counting problems (not decision problems). Classes like IP and AM are defined using Interactive proof systems. ALL is the class of all decision problems.","The expression used to represent the complexity class of counting problems is **#P** (sharp P). This class consists of problems that count the number of accepting paths of a non-deterministic polynomial-time Turing machine, rather than just determining whether there exists at least one accepting path, which is what the class NP addresses."
factual_qa_436,factual_qa,rajpurkar/squad_v2,436,reordering,4,gpt-4o-mini,0.7,0.9,,"Context: Other important complexity classes include BPP, ZPP and RP, which are defined using probabilistic Turing machines; AC and NC, which are defined using Boolean circuits; and BQP and QMA, which are defined using quantum Turing machines. #P is an important complexity class of counting problems (not decision problems). Classes like IP and AM are defined using Interactive proof systems. ALL is the class of all decision problems.

Question: What is the expression used to represent a complexity class of counting problems?","Question: What is the expression used to represent a complexity class of counting problems?

Context: Other important complexity classes include BPP, ZPP and RP, which are defined using probabilistic Turing machines; AC and NC, which are defined using Boolean circuits; and BQP and QMA, which are defined using quantum Turing machines. #P is an important complexity class of counting problems (not decision problems). Classes like IP and AM are defined using Interactive proof systems. ALL is the class of all decision problems.",The expression used to represent the complexity class of counting problems is **#P** (sharp-P).
factual_qa_436,factual_qa,rajpurkar/squad_v2,436,reordering,5,gpt-4o-mini,0.7,0.9,,"Context: Other important complexity classes include BPP, ZPP and RP, which are defined using probabilistic Turing machines; AC and NC, which are defined using Boolean circuits; and BQP and QMA, which are defined using quantum Turing machines. #P is an important complexity class of counting problems (not decision problems). Classes like IP and AM are defined using Interactive proof systems. ALL is the class of all decision problems.

Question: What is the expression used to represent a complexity class of counting problems?","Question: What is the expression used to represent a complexity class of counting problems?

Context: Other important complexity classes include BPP, ZPP and RP, which are defined using probabilistic Turing machines; AC and NC, which are defined using Boolean circuits; and BQP and QMA, which are defined using quantum Turing machines. #P is an important complexity class of counting problems (not decision problems). Classes like IP and AM are defined using Interactive proof systems. ALL is the class of all decision problems.","The expression used to represent a complexity class of counting problems is **#P** (sharp P). This class consists of problems that involve counting the number of solutions to decision problems, rather than simply deciding whether a solution exists."
