item_id,had_template_artifact,fixed_has_template_artifact,had_asy_removed,fixed_has_asy_removed,asy_restored,original_prompt_length_chars,old_perturbed_prompt_length_chars,fixed_perturbed_prompt_length_chars
math_reasoning_3886,False,False,False,False,False,162,159,215
math_reasoning_5038,False,False,False,False,False,255,217,288
math_reasoning_8004,True,False,False,False,False,172,194,239
math_reasoning_4896,False,False,False,False,False,142,146,211
math_reasoning_5497,False,False,False,False,False,161,149,220
math_reasoning_11297,False,False,True,False,True,938,143,1002
math_reasoning_11759,False,False,False,False,False,158,174,239
math_reasoning_10926,False,False,False,False,False,164,168,232
math_reasoning_4807,True,False,False,False,False,238,355,400
math_reasoning_2873,False,False,False,False,False,191,124,195
math_reasoning_10051,True,False,True,False,True,488,260,474
math_reasoning_3402,True,False,False,False,False,309,354,399
math_reasoning_1600,True,False,True,False,True,473,231,497
math_reasoning_10586,False,False,True,False,True,844,183,863
math_reasoning_338,True,False,True,False,True,874,320,822
math_reasoning_1650,False,False,False,False,False,217,187,258
math_reasoning_467,False,False,False,False,False,115,66,137
math_reasoning_7390,False,False,False,False,False,168,167,238
math_reasoning_4531,True,False,False,False,False,315,311,276
math_reasoning_2817,False,False,False,False,False,331,279,344
math_reasoning_4880,True,False,False,False,False,266,279,324
math_reasoning_3374,False,False,False,False,False,243,242,312
math_reasoning_9599,True,False,False,False,False,465,649,694
math_reasoning_5281,False,False,False,False,False,144,103,174
math_reasoning_5408,False,False,False,False,False,345,305,376
math_reasoning_2652,False,False,False,False,False,225,182,253
math_reasoning_2832,False,False,False,False,False,161,172,243
math_reasoning_5912,False,False,False,False,False,95,69,140
math_reasoning_3251,False,False,False,False,False,132,127,192
math_reasoning_7372,False,False,False,False,False,158,181,252
math_reasoning_9765,False,False,False,False,False,130,91,162
math_reasoning_3336,True,False,True,False,True,1269,200,1256
math_reasoning_4965,True,False,False,False,False,231,237,245
math_reasoning_9403,False,False,False,False,False,167,116,187
math_reasoning_10521,True,False,False,False,False,179,218,263
math_reasoning_6164,True,False,False,False,False,230,388,433
math_reasoning_6807,False,False,False,False,False,120,103,174
math_reasoning_1121,True,False,False,False,False,311,294,294
math_reasoning_4506,False,False,False,False,False,574,396,401
math_reasoning_190,False,False,False,False,False,236,243,314
math_reasoning_10682,False,False,False,False,False,297,300,371
math_reasoning_9083,False,False,False,False,False,101,74,145
math_reasoning_2166,False,False,False,False,False,348,374,438
math_reasoning_5201,True,False,False,False,False,497,596,546
math_reasoning_2891,True,False,True,False,True,531,197,531
math_reasoning_11055,False,False,False,False,False,164,125,196
math_reasoning_7546,False,False,False,False,False,246,249,320
math_reasoning_5594,False,False,False,False,False,129,136,207
math_reasoning_3715,False,False,False,False,False,172,147,218
math_reasoning_6746,True,False,False,False,False,173,230,275
