item_id,task_type,dataset_name,n_outputs,n_pairs,mean_within_prompt_similarity,sampling_noise_drift,similarity_metric
code_generation_102,code_generation,bigcode/humanevalpack,5,10,0.938498,0.061502,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_104,code_generation,bigcode/humanevalpack,5,10,0.808642,0.191358,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_107,code_generation,bigcode/humanevalpack,5,10,0.980359,0.019641,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_109,code_generation,bigcode/humanevalpack,5,10,0.769704,0.230296,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_11,code_generation,bigcode/humanevalpack,5,10,0.74903,0.25097,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_110,code_generation,bigcode/humanevalpack,5,10,0.961722,0.038278,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_112,code_generation,bigcode/humanevalpack,5,10,0.92325,0.07675,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_117,code_generation,bigcode/humanevalpack,5,10,0.859769,0.140231,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_12,code_generation,bigcode/humanevalpack,5,10,1.0,-0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_122,code_generation,bigcode/humanevalpack,5,10,0.840759,0.159241,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_128,code_generation,bigcode/humanevalpack,5,10,0.949227,0.050773,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_13,code_generation,bigcode/humanevalpack,5,10,0.962171,0.037829,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_131,code_generation,bigcode/humanevalpack,5,10,0.93817,0.06183,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_135,code_generation,bigcode/humanevalpack,5,10,0.916277,0.083723,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_138,code_generation,bigcode/humanevalpack,5,10,0.920589,0.079411,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_142,code_generation,bigcode/humanevalpack,5,10,0.883601,0.116399,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_143,code_generation,bigcode/humanevalpack,5,10,0.92346,0.07654,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_145,code_generation,bigcode/humanevalpack,5,10,0.91002,0.08998,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_146,code_generation,bigcode/humanevalpack,5,10,0.927738,0.072262,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_15,code_generation,bigcode/humanevalpack,5,10,1.0,0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_153,code_generation,bigcode/humanevalpack,5,10,0.971965,0.028035,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_157,code_generation,bigcode/humanevalpack,5,10,0.949941,0.050059,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_17,code_generation,bigcode/humanevalpack,5,10,0.926605,0.073395,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_18,code_generation,bigcode/humanevalpack,5,10,0.996408,0.003592,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_24,code_generation,bigcode/humanevalpack,5,10,0.890308,0.109692,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_25,code_generation,bigcode/humanevalpack,5,10,0.984699,0.015301,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_26,code_generation,bigcode/humanevalpack,5,10,0.905718,0.094282,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_28,code_generation,bigcode/humanevalpack,5,10,0.91814,0.08186,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_31,code_generation,bigcode/humanevalpack,5,10,0.981214,0.018786,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_32,code_generation,bigcode/humanevalpack,5,10,0.858564,0.141436,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_33,code_generation,bigcode/humanevalpack,5,10,0.979406,0.020594,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_34,code_generation,bigcode/humanevalpack,5,10,0.960708,0.039292,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_35,code_generation,bigcode/humanevalpack,5,10,0.986504,0.013496,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_37,code_generation,bigcode/humanevalpack,5,10,0.900114,0.099886,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_38,code_generation,bigcode/humanevalpack,5,10,0.778994,0.221006,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_40,code_generation,bigcode/humanevalpack,5,10,0.983615,0.016385,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_44,code_generation,bigcode/humanevalpack,5,10,0.801999,0.198001,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_48,code_generation,bigcode/humanevalpack,5,10,1.0,-0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_49,code_generation,bigcode/humanevalpack,5,10,0.956025,0.043975,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_60,code_generation,bigcode/humanevalpack,5,10,0.977131,0.022869,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_64,code_generation,bigcode/humanevalpack,5,10,0.96154,0.03846,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_68,code_generation,bigcode/humanevalpack,5,10,1.0,0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_7,code_generation,bigcode/humanevalpack,5,10,1.0,-0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_71,code_generation,bigcode/humanevalpack,5,10,0.965796,0.034204,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_75,code_generation,bigcode/humanevalpack,5,10,0.89621,0.10379,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_78,code_generation,bigcode/humanevalpack,5,10,0.985922,0.014078,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_82,code_generation,bigcode/humanevalpack,5,10,0.868444,0.131556,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_83,code_generation,bigcode/humanevalpack,5,10,0.949662,0.050338,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_85,code_generation,bigcode/humanevalpack,5,10,0.82523,0.17477,"sklearn HashingVectorizer char_wb(3,5) cosine"
code_generation_92,code_generation,bigcode/humanevalpack,5,10,0.950825,0.049175,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_10038,factual_qa,rajpurkar/squad_v2,5,10,1.0,0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_10197,factual_qa,rajpurkar/squad_v2,5,10,1.0,-0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_10550,factual_qa,rajpurkar/squad_v2,5,10,0.833984,0.166016,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_10779,factual_qa,rajpurkar/squad_v2,5,10,1.0,-0.0,"sklearn HashingVectorizer char_wb(3,5) cosine"
factual_qa_10908,factual_qa,rajpurkar/squad_v2,5,10,0.888011,0.111989,"sklearn HashingVectorizer char_wb(3,5) cosine"
