item_id,task_type,perturbation_type,n_original_outputs,n_perturbed_outputs,baseline_similarity,perturbation_similarity,noise_corrected_drift
code_generation_35,code_generation,context_injection,3,3,0.861084,0.802945,0.058139
code_generation_35,code_generation,formatting_changes,3,3,0.861084,0.887419,-0.026336
code_generation_35,code_generation,paraphrasing,3,3,0.861084,0.815543,0.045541
code_generation_35,code_generation,reordering,3,3,0.861084,0.834708,0.026376
code_generation_35,code_generation,surface_noise,3,3,0.861084,0.857093,0.003991
factual_qa_378,factual_qa,context_injection,3,3,0.845953,0.686998,0.158955
factual_qa_378,factual_qa,formatting_changes,3,3,0.845953,0.723961,0.121992
factual_qa_378,factual_qa,paraphrasing,3,3,0.845953,0.834772,0.011181
factual_qa_378,factual_qa,reordering,3,3,0.845953,0.893734,-0.047781
factual_qa_378,factual_qa,surface_noise,3,3,0.845953,0.860285,-0.014332
math_reasoning_400,math_reasoning,context_injection,3,3,0.912666,0.905122,0.007545
math_reasoning_400,math_reasoning,formatting_changes,3,3,0.912666,0.514694,0.397972
math_reasoning_400,math_reasoning,paraphrasing,3,3,0.912666,0.896618,0.016049
math_reasoning_400,math_reasoning,reordering,3,3,0.912666,0.880689,0.031978
math_reasoning_400,math_reasoning,surface_noise,3,3,0.912666,0.909025,0.003641
open_ended_writing_13494,open_ended_writing,context_injection,3,3,0.797845,0.703586,0.094259
open_ended_writing_13494,open_ended_writing,formatting_changes,3,3,0.797845,0.764812,0.033033
open_ended_writing_13494,open_ended_writing,paraphrasing,3,3,0.797845,0.787164,0.010681
open_ended_writing_13494,open_ended_writing,reordering,3,3,0.797845,0.777599,0.020246
open_ended_writing_13494,open_ended_writing,surface_noise,3,3,0.797845,0.768957,0.028888
